"Citation key","Year","Geometry","Bulk crystal / local defect / line defect","Same left and right leads?","PDE","TM / TE / full Maxwell / abstract elliptic","Piecewise constant coefficients?","Smooth coefficients?","Spectral regime","Gap only?","Essential spectrum?","Band edge?","Complex frequency?","Exterior treatment","DtN / RtR / PML / supercell / modal / scattering matrix","Propagation operator","Bloch multipliers","Boundary integral?","Müller formulation?","FEM?","Volume discretization?","Interface-only discretization?","Nonlinear eigenvalue method","Proven equivalence?","Proven uniqueness?","Proven modal completeness?","Proven convergence?","Error estimate?","Main limitation","Closest draft claim"
"AmmariSantosa2004","2004","2-D periodic background with axial line defect","line defect","yes","scalar wave equation","scalar/TM-type","not central","periodic background","guided spectrum in bulk gap","yes","implicit","not primary","no","spectral localization","none","no","axial Bloch parameter","no","no","no","no","no","existence/dispersion","yes for existence framework","problem dependent","no","no","no","not a numerical method","model problem and guided-mode definition"
"Soussi2005","2005","2-D photonic crystal with compact defect","local defect","yes","scalar elliptic","TM and TE","allowed","allowed","gap defect eigenvalues","yes","characterizes background","indirectly","no","supercell","supercell","no","supercell quasi-momentum","no","no","method independent","yes","no","linear supercell eigenproblem","yes asymptotically","yes under hypotheses","no","yes exponential","yes","principally compact defect; poorly confined modes costly","numerical comparator"
"JolyLiFliss2006","2006","locally perturbed periodic waveguide and half-guide","local perturbation","yes","absorbed Helmholtz","scalar/TM-type","general periodic","yes","absorbed scattering","no","not lossless","discussed in limit","no","exact half-guide DtN","DtN","yes compact Riccati","yes","no","no","cell FEM framework","yes","no","Riccati/cell solve","yes for absorbed scattering","yes","open in Remark 5.1","method-level","limited","positive absorption essential","absorbing DtN and one-cell propagation"
"YuanLuAntoine2008","2008","2-D periodic unit cells with arbitrary cylinders","bulk crystal","n/a","piecewise Helmholtz/divergence form","E and H polarizations","yes","smooth interfaces","bulk bands","no","no","ordinary bands","no","unit-cell DtN","DtN / transfer / scattering discussed","cell DtN","yes","yes","no / direct transmission BIE","no","no","yes","small matrix band EVP","numerical formulation","cell problem uniqueness away from resonances","no","numerically","no global theorem","bulk bands only","BIE cell DtN and TE/TM"
"BarnettGreengard2010","2010","2-D periodic unit cell with inclusion","bulk crystal","n/a","piecewise Helmholtz/Maxwell reduction","scalar polarizations","yes","smooth interfaces","bulk Bloch bands","no","no","ordinary bands","no","QP BIE or auxiliary-wall periodization","modal/BIE","no","Bloch phases","yes","yes Müller type","no","no","yes","smallest singular value scan","yes Theorem 4","yes away from stated exceptions","no","spectral Nyström evidence","no complete a priori estimate","bulk not line defect; QP formulation exceptional parameters","Theorem 2; Müller block; sigma-min scan"
"Coatleven2012","2012","periodic media with a line defect; two exterior media possible","line defect","not required","absorbed Helmholtz","scalar/TM-type","general","yes","forced absorbed scattering","no","lossless not complete","decay affects error","no","exact DtN and FBT","DtN","yes Riccati","yes","no","no","yes","yes","no","FBT quadrature / bounded solve","yes","yes with absorption","no","yes","yes","absorption; not guided eigenproblem","different leads; absorbing DtN; error analysis"
"Fliss2013","2013","2-D periodic line-defect waveguide","line defect","yes in main setting","self-adjoint scalar Helmholtz-type","scalar","general periodic","yes","guided eigenvalues in gaps","yes","yes","yes poorly confined","no","exact half-guide DtN","DtN","yes Riccati","yes","no","no","yes","yes","no","nonlinear fixed point","yes Theorem 4.5","yes outside countable set","propagation basis not main theorem","method analyzed","decay theorem","DtN forbidden frequencies; FEM volume","Theorem 1 and nonlinear guided-mode reduction"
"HohageSoussi2013","2013","semi-infinite periodic strip","half-guide","n/a","time-harmonic scalar wave","acoustic/TM","general periodic","yes","gap and spectrum cases","no","yes","thresholds treated by hypotheses","no","Floquet/Jordan trace basis","modal","translation operator","yes generalized","no","no","no","no","no","not a numerical eigensolver","yes for basis/trace representation","well-posedness under trace assumptions","yes Riesz basis with Jordan chains","analytic","basis norm equivalence","no defect-cell coupling","Conjecture 1"
"KlindworthSchmidtFliss2014","2014","2-D photonic crystal line-defect guide","line defect","yes","scalar Helmholtz-type","scalar","general periodic","yes","guided gap eigenvalues","yes","yes","yes","no","exact DtN","DtN","yes Riccati","yes","no","no","yes high order","yes","no","Newton and Chebyshev operator interpolation","inherits exact equivalence","outside DtN poles","no","FEM convergence framework","numerical studies","DtN forbidden set and volume cost","numerical realization and band-edge modes"
"FlissKlindworthSchmidt2015","2015","2-D photonic crystal line-defect guide","line defect","yes","scalar Helmholtz-type","scalar","general periodic","yes","guided gap eigenvalues","yes","yes","yes","no","exact Robin trace map","RtR","yes cell operator","yes","no","no","yes","yes","no","nonlinear guided-mode solve","yes","yes at DtN forbidden frequencies via Robin local problems","no","numerical","not fully audited","no interface BIE","Cauchy relation at forbidden frequencies"
"ChoBarnett2015","2015","many 2-D periodic layers","bulk/layered scattering","layer dependent","Helmholtz transmission","TM/scalar","yes","smooth or corners","real-frequency scattering","no","no","Wood anomalies included","no","neighbors plus proxy and Rayleigh","modal/scattering","no","Bloch phase input","yes","second-kind transmission","no","no","yes","linear scattering solves","physical scattering equivalence","robust formulation","no","high-order numerical","empirical/spectral","not an eigenproblem","3-cell MFS/proxy construction"
"BrownEtAl2017","2017","2-D periodic medium with line defect","line defect","yes","divergence-form elliptic","TE","yes discontinuous","not required","gap localization by weak defects","yes","yes","band-edge hypotheses","no","Green/Birman-Schwinger analysis","none","no","axial Bloch reduction","no","no","no","analytic volume operator","no","existence eigenproblem","yes for localization criterion","yes variationally","no","not numerical","no","no numerical algorithm","TE extension and discontinuous coefficients"
"DohnalSchweizer2018","2018","scattering region with periodic waveguide outlets","periodic leads","not required","scalar Helmholtz-type","scalar","general periodic","yes","real-frequency scattering","no","yes","exceptions excluded","no","Bloch radiation boxes","modal","implicit","yes","no","no","yes","yes","no","linear scattering solve","yes for truncated formulation","yes under assumptions","sufficient modal framework","yes","yes","forced scattering not guided modes","stable/outgoing Bloch exterior condition"
"LuanSunZhuang2019","2019","periodic penetrable obstacle array","bulk scattering","n/a","Helmholtz transmission","scalar","yes","smooth obstacles","non-Wood real scattering","no","no","Wood excluded","no","Rayleigh expansion","modal/MFS","no","Bloch phase input","meshless fundamental solutions","no","no","no","interface collocation","least squares residual","error from residual","physical uniqueness assumed","no","yes residual estimate","yes Theorem 3.1","scattering and source-point conditioning","MFS QP Green construction"
"BinkowskiEtAl2020","2020","general NEP; nanophotonic examples","other","n/a","operator dependent","Maxwell examples","operator dependent","operator dependent","complex isolated eigenvalues","no","operator dependent","yes","yes","encoded in black box","contour/Riesz","no","no","operator dependent","no","yes in examples","yes","possibly boundary/volume","Riesz projection contour","general analytic NEP theory","invertibility on contour","no","quadrature convergence context","diagnostics","not waveguide-specific; operator poles remain","replace sigma-min scan"
"Zhang2021","2021","periodic waveguide","half-guide/scattering","n/a","scalar Helmholtz","scalar","general periodic","yes","LAP scattering and translation spectrum","no","yes","delicate","no","generalized modal decomposition","modal","translation operator","yes generalized","no","no","no","no","no","contour/residue decomposition","yes for LAP solution","under LAP assumptions","yes generalized","analytic","representation estimates","not a defect guided-mode solver","Conjecture 1 and stable traces"
"HiptmairMoiolaSpence2022","2022","bounded penetrable scatterer","other","n/a","Helmholtz transmission","scalar","yes","smooth","real high frequency","no","no","no","no","Sommerfeld radiation","BIE","no","no","yes","direct transmission BIE","no","no","yes","singular-value/condition analysis","physical equivalence but BIE inverse may blow","physical problem unique","no","analytic","frequency estimates","nonperiodic; diagnostic rather than eigensolver","spurious kernels in Conjecture 2"
"Zhang2023","2023","complicated waveguides with periodic outlets","periodic leads","not required","scalar Helmholtz","scalar","general periodic","yes","real-frequency scattering","no","yes","spectral separation required","no","generalized-mode DtN","DtN/modal","translation modes","yes generalized","no","no","yes","yes","no","truncated modal DtN","yes","yes under assumptions","yes via prior decomposition","yes exponential","yes full FEM error","not a guided eigenproblem; thresholds delicate","stable Bloch trace truncation"
"LyuLiLin2025","2025","semi-infinite and bi-infinite 2-D photonic crystals","interfaces/edge states","different crystals allowed","Helmholtz GEP","TE/TM discussion","yes","cell structured","isolated edge-state singularities","not only gap in algebraic setup","semi-infinite spectrum","target isolated","real/possibly complex contour","semi-infinite Green function","contour/SDA","doubling transfer","implicit","no","no","yes","yes","no","contour integral and cyclic SDA","yes discrete Theorems 2 and 5","under isolated-value hypotheses","not continuous waveguide completeness","numerical","structure-based","PEC/mixed boundary and different geometry","contour solver for semi-infinite photonics"
"Linton1998","1998","one-dimensionally periodic Helmholtz domains","bulk/scattering kernel","n/a","Helmholtz","scalar","homogeneous exterior","smooth geometry not central","nonexceptional Green-function evaluation","no","no","Wood-type exceptions","no","periodic Green function","modal/Ewald","no","Bloch phase","kernel for BIE","no","no","no","interface kernel only","not eigenvalue method","representation identities","radiation uniqueness","no","yes numerical formulas","comparison data","not a waveguide eigenproblem","MFS benchmark/reference Green function"
