"Citation key","Geometry","PDE","Polarization","Complex frequency or propagation constant","Resonance definition","Outgoing condition","Bloch radiation condition","Scattering-matrix pole?","Resolvent pole?","BIE?","Müller?","DtN?","PML?","Contour solver?","Branch cuts?","Wood anomalies?","BIC?","Spurious root control?","Convergence proof?","Closest relation to current draft"
"ShipmanVenakides2003","periodic finite-thickness photonic-crystal slab","2D Maxwell reduction","E/H scalar cases","complex omega at real beta","nullspace of analytic boundary-integral projections","outgoing Rayleigh continuation; e^{-i omega t}, Im omega<0","quasiperiodic beta","linked to resonant scattering","operator poles/zeros","yes, Calderon projections","second-kind transmission type","no","no","root tracking","Rayleigh branch domain restricted","thresholds excluded from analytic neighborhood","real omega is bound state","Fredholm setup filters formulation nullspace conceptually","Fredholm theory; numerics","strongest unified BIE precedent, different exterior"
"HaiderShipmanVenakides2002","finite-in-propagation slab, periodic transverse channel defect","2D Maxwell reduction","E-polarized","real-frequency scattering peaks","three resonance categories from transmission fields","outgoing periodic Green/Rayleigh","quasiperiodic transverse condition","implicitly","no","yes","explicit second-kind","no","no","no","Ewald/QP Green restrictions","not Wood-focused","no","first/second-kind comparison","numerical validation","very close geometry and channel-defect BIE"
"ShipmanVenakides2005","periodic slab","Helmholtz/Maxwell reduction","scalar","complex omega and kappa","zero of analytic Fredholm operator near guided mode","analytic continuation; leaky field grows spatially and decays in time","real/complex Bloch vector","resonant transmission expansion","yes locally","yes","second kind","no","no","local analytic expansion","yes","threshold excluded locally","nonrobust guided mode/BIC boundary","analytic factorization","local theorem","guided-to-resonance continuation precedent"
"LiLu2009LeakyCavities","finite 2D photonic crystal cavity","scalar Helmholtz","E/H polarization reductions","complex eigenfrequency","outgoing cavity mode","exact exterior DtN at computational edge","not periodic leads","not primary","yes conceptually","boundary-based reduction","no","yes","no","iterative nonlinear solve","Hankel/Rayleigh branches implicit","not central","no","comparison/convergence numerics","numerical","exact-boundary leaky cavity prior art"
"LiLu2010LeakyWaveguides","line defect in finite-width 2D photonic crystal","scalar Helmholtz","E-polarized examples","fixed real omega, complex propagation beta","leaky waveguide mode","exact lateral outgoing DtN","periodic along guide; complex beta","no","no","boundary reduction","no","yes","no","nonlinear root iteration","transverse square-root/Hankel branches","not central","no","mode residual/numerical comparison","numerical","closest title/geometry; major priority risk"
"LuLu2012PCF","photonic-crystal fiber cross-section","vector Maxwell","full vector","fixed omega, complex propagation beta","leaky fiber mode","outgoing Hankel functions","no periodic lead","no","no","yes","second-kind high-order BIE","no","no","nonlinear root solve","gamma_j=sqrt(k_j^2-beta^2)","no","no","convergence checks","exponential numerical convergence","BIE leaky-mode component prior art"
"LaiJiang2018","optical fibers/waveguides","vector Maxwell","full vector","complex propagation constant","bound/leaky/complex modes of SKIE NEP","outgoing transverse fundamental solutions","no","no","no","yes, second-kind","second-kind integral formulation","no","no","iterative eigensolve","complex transverse wavenumber branches","no","no","well-conditioned formulation","extensive convergence tests","second-kind mode solver precedent"
"KristensenEtAl2014","photonic-crystal cavity coupled to defect waveguide","Maxwell","full vector numerical setting","complex omega","quasinormal mode pole/eigenfield","nonlocal waveguide boundary; spatial divergence regularized","waveguide modal boundary","no","resonance pole interpretation","no central BIE","no","nonlocal modal DtN-like condition","no","no","complex waveguide-mode continuation","no","nearby high-Q cavity state","normalization controls divergent tail","application validation","direct coupled cavity-waveguide QNM precedent"
"BykovDoskolovich2013","periodic diffraction grating","Maxwell via scattering matrix","grating polarization","complex omega","pole of S(omega)","outgoing scattering basis","Rayleigh/Fourier channels","yes, central","not formulated","no","no","no","no","yes, Cauchy all-pole method","requires analytic pole neighborhood","diffraction thresholds avoided","adjacent","uses S and S^{-1} structure to avoid determinant pathologies","numerical convergence","pole solver prior art for existing S module"
"AbdrabouLu2019","uniform and periodic slabs","scalar Helmholtz","TE/TM reductions","complex omega and/or complex Bloch wavenumber","resonant, improper, leaky, guided branches","outgoing or improper transverse condition by branch","complex Bloch dispersion","implicit","implicit","no","no","DtN/modal formulation","no","branch continuation/Newton","yes, Riemann sheets and exceptional points","light-line thresholds","bound states connected to resonances","mode classification avoids false leaky labels","numerical","best taxonomy/unification precedent"
"AbdrabouLu2022","periodic waveguide near BIC","scalar Helmholtz","one polarization","fixed real frequency, complex Bloch wavenumber","leaky or laterally decaying mode near BIC","outgoing vs decaying distinguished","complex beta","resonance relation","no","no","no","modal boundary","no","perturbation/Newton","yes","diffraction thresholds excluded","central","classification is spurious-label control","perturbation theory","warns complex beta is not automatically leaky"
"BrunoDelourme2014","periodic grating","Helmholtz scattering","scalar","real and complex-neighborhood parameters","scattering solution, not eigenmode","shifted quasiperiodic Green function","Rayleigh outgoing","no","no","yes","combined/shifted layer formulation","no","no","no","explicit branch structure","central: works at Wood anomalies","no","uniqueness formulation","high-order convergence","Wood-robust kernel ingredient"
"MaiLu2022","periodic cylinder array/grating","2D Helmholtz","E-polarized","complex contour in omega/beta/parameters","zero reflection/transmission/absorption condition as NEP","outgoing DtN/scattering channels","Rayleigh channels","matrix conditions on S","no","boundary/DtN discretization","no","yes","no","yes","contour must avoid branch points","not solved at Wood","BIC-adjacent anomalies","post-check scattering conditions","numerical convergence","closest cylinder-array contour-NEP workflow"
"PerrusselPoirier2024","photonic-crystal fiber","Maxwell/BEM","vector","complex propagation constant","BEM nonlinear eigenvalue","outgoing fiber mode","no","no","no","yes","Müller iteration compared, not necessarily Müller BIE","no","no","yes plus rational interpolant","nonlinearity treated numerically","no","no","solver comparisons","numerical","shows contour/rational BEM-NEP is established"
"Beyn2012","general analytic matrix NEP","operator/matrix","not applicable","complex eigenvalue","zero of holomorphic T(z)","not physical","not applicable","no","no","no","no","no","no","yes","requires holomorphic T inside contour","branch points forbidden inside domain","no","rank/moment diagnostics","convergence/perturbation analysis","algorithmic prerequisite, not photonic novelty"
