"Citation key","Geometry","PDE","Polarization","Bulk edge / projected edge / guide threshold","Essential spectrum","Unit-circle multiplier","Repeated multiplier","Generalized Bloch modes","Limiting absorption","Radiation condition","DtN well-posed?","RtR used?","Threshold resonance?","Exponential decay?","Algebraic decay?","Numerical method","Convergence proof","Poorly confined modes","Closest relation to current draft"
"Fliss2013","2D line-defect periodic waveguide","scalar Helmholtz","TM model","fixed-beta projected gap edge","yes","implicit boundary of stable spectrum","excluded","no","absorption used for DtN definition","gap decay","inside gap except countable half-guide Dirichlet poles","no","no","yes in strict gap","no","FEM-DtN nonlinear EVP","yes away from edge","not threshold-uniform","baseline exact truncation"
"KlindworthSchmidtFliss2014","2D photonic-crystal line defect","scalar Helmholtz","TM","projected edge / poorly confined gap mode","yes","approached","no","no","no","decaying DtN","regular frequencies","no","no","rate becomes small","no","FEM-DtN and supercell","numerical convergence study","Sect. 7.2 and Fig. 8 show slow supercell convergence","closest numerical benchmark"
"FlissJoly2016Radiation","closed periodic waveguide","scalar Helmholtz","not polarization-specific","band spectrum and stationary Bloch points","yes","propagating multipliers","stationary points separated as Xi_0","Bloch spectral expansion","yes","Definition 5; outgoing group-velocity modes plus decaying remainder","not central","no","excluded by omega^2 notin sigma_0","Theorem 7 remainder","not claimed","Bloch transform/asymptotics","Theorem 8 well-posedness","zero group velocity is exceptional","real-frequency radiation foundation"
"Hoang2011LAP","semi-infinite periodic straight waveguide","elliptic Helmholtz type","not specific","spectral parameter inside a band","yes","yes","nondegenerate crossings assumed in modal description","Bloch decomposition","central result","outgoing as absorption limit","not a DtN paper","no","threshold not the focus","local H1 limiting field","no","analysis","LAP convergence theorem","does not certify exact threshold","half-guide outgoing selection"
"KirschLechleiter2018","closed full/half periodic waveguide","Helmholtz","scalar","exceptional Floquet values and propagating regime","yes","yes","analytic treatment near exceptional values","Bloch expansion","yes","LAP radiation condition","no","no","threshold excluded by assumptions","evanescent remainder","no","analysis","existence/uniqueness under assumptions","not threshold-uniform","alternative LAP formulation"
"LamaczSchweizer2018","interface with unbounded photonic crystal","Helmholtz with periodic coefficient","scalar","bulk dispersion at fixed frequency","yes","outgoing modes by flux/group velocity","degeneracy restricted","Bloch measure","limiting domain procedure","Bloch-measure outgoing condition","no","no","not classified","outgoing measure","no","truncated-domain/Bloch analysis","weak uniqueness","not a line-defect study","flux-based unit-circle selection"
"FlissJolyLescarret2021","waveguide with periodic outlets","elliptic Helmholtz","scalar","continuous-spectrum regime and gaps","yes","propagating outlets","nondegeneracy hypotheses","Bloch modes","physical LAP motivates condition","DtN for periodic outlets","only under stated regularity/nonresonance","no","trapped modes identified","gap modes decay","no","FEM-DtN","analysis plus numerical error","edge constants not uniform","closest post-Fliss DtN extension"
"Zhang2021NumericalWaveguides","locally perturbed periodic waveguide","Helmholtz","scalar","spectral bands / propagating multipliers","yes","poles on unit circle handled by contour deformation","possible multiplicity handled meromorphically","spectral decomposition","yes","deformed Floquet-Bloch contour","not direct DtN","no","exceptional set excluded/extended","yes off propagating set","no","contour Bloch transform + FEM","Theorems 1-2 and FEM convergence","not exact zero-group-velocity theory","analytic multiplier-plane machinery"
"KirschSchweizer2025","closed periodic waveguide","Helmholtz","scalar","bands under Assumption 3.5","yes","propagating quasiperiodic modes","nondegeneracy explicit","bounded space equals quasiperiodic span","multiple LAPs compared","radiation can depend on damping","not main focus","no","bounded homogeneous states classified","evanescent pieces","no","analysis and examples","Theorem 6.2","warns LAP is not unique without model","scope warning for unified trace"
"Nazarov2020Threshold","cylindrical and periodic outlets","general second-order elliptic systems","scalar/vector examples","ordinary and degenerate continuous-spectrum thresholds","yes","standing channels","degenerate Jordan/polynomial chains","polynomial almost-standing waves","weighted-space limit from either side","asymptotic/flux conditions","not a DtN paper","no","central subject","remainders may decay","yes, polynomial growth at degenerate thresholds","weighted operator extensions","classification theorems","not computational","true threshold theory missing from draft"
"HohageSoussi2013","semi-infinite periodic waveguide","elliptic Helmholtz","scalar","translation spectrum near unit circle","yes","included","yes","Riesz basis of generalized Floquet modes","no","decay/stable subspace in gaps","relation may be multivalued at collisions","no","no","stable modes decay","polynomial factors from Jordan chains","operator spectral decomposition","basis/convergence theorem","not edge-uniform","generalized trace basis"
"FlissKlindworthSchmidt2015","2D line-defect periodic waveguide","scalar Helmholtz","TM","regular gap frequencies near DtN poles","yes","not threshold focus","no","no","absorption background","decaying transparent condition","RtR avoids Dirichlet forbidden frequencies","yes","no","yes in gap","no","FEM-RtR EVP","yes","not threshold cure","shows RtR fixes poles but not unit-circle threshold"

